SK_ID_CURR,TARGET
100001,0.09
100005,0.16
100013,0.04
100028,0.08
100038,0.14
100042,0.09
100057,0.05
100065,0.08
100066,0.1
100067,0.16
100074,0.12
100090,0.11
100091,0.2
100092,0.16
100106,0.07
100107,0.29
100109,0.11
100117,0.06
100128,0.12
100141,0.09
100150,0.05
100168,0.07
100169,0.1
100170,0.07
100171,0.08
100172,0.22
100184,0.03
100187,0.08
100212,0.2
100222,0.11
100223,0.11
100232,0.1
100241,0.2
100245,0.03
100253,0.08
100256,0.13
100271,0.09
100278,0.34
100280,0.11
100306,0.25
100311,0.16
100312,0.12
100330,0.3
100331,0.1
100352,0.17
100358,0.12
100367,0.06
100382,0.19
100384,0.07
100385,0.12
100386,0.06
100399,0.05
100404,0.15
100416,0.07
100422,0.12
100426,0.05
100438,0.07
100444,0.19
100445,0.15
100446,0.17
100447,0.06
100450,0.07
100466,0.14
100483,0.05
100484,0.08
100494,0.14
100510,0.2
100512,0.08
100517,0.07
100548,0.08
100551,0.1
100552,0.16
100553,0.1
100561,0.17
100568,0.31
100569,0.03
100591,0.11
100592,0.04
100602,0.1
100607,0.07
100613,0.11
100617,0.13
100618,0.15
100622,0.23
100625,0.16
100677,0.23
100699,0.1
100702,0.27
100711,0.08
100729,0.12
100740,0.18
100744,0.16
100745,0.06
100747,0.15
100751,0.28
100752,0.07
100753,0.22
100754,0.09
100760,0.13
100762,0.1
100763,0.14
100765,0.05
100770,0.2
100772,0.04
100777,0.01
100791,0.08
100792,0.06
100797,0.09
100823,0.13
100826,0.06
100830,0.07
100836,0.22
100872,0.24
100910,0.07
100913,0.2
100918,0.15
100931,0.01
100952,0.08
100953,0.15
100965,0.22
100970,0.07
100982,0.2
100983,0.23
100984,0.17
100987,0.12
100997,0.05
100998,0.17
101002,0.28
101005,0.2
101008,0.18
101020,0.03
101021,0.13
101024,0.19
101025,0.14
101026,0.11
101031,0.02
101041,0.05
101051,0.03
101055,0.14
101056,0.33
101057,0.11
101064,0.11
101079,0.16
101087,0.05
101090,0.11
101092,0.16
101097,0.12
101099,0.04
101107,0.16
101118,0.07
101125,0.11
101126,0.03
101128,0.09
101136,0.22
101140,0.22
101149,0.09
101160,0.07
101169,0.27
101181,0.14
101186,0.05
101190,0.17
101193,0.18
101194,0.1
101198,0.16
101200,0.16
101204,0.08
101211,0.11
101213,0.09
101223,0.09
101225,0.17
101237,0.14
101243,0.06
101244,0.21
101258,0.06
101259,0.2
101268,0.11
101269,0.06
